"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 20","0.05","Lasso","0","2","95.9984153156123"
"1 20","0.05","Relaxed Lasso","0","1","96.0667520864778"
"1 20","0.05","RF","0","5","79.7936746025766"
"1 21","0.05","Lasso","0","0","118.691384590853"
"1 21","0.05","Relaxed Lasso","0","0","116.469732099126"
"1 21","0.05","RF","1","3","104.304053392319"
"1 22","0.05","Lasso","0","0","113.50891943492"
"1 22","0.05","Relaxed Lasso","0","2","113.082724178415"
"1 22","0.05","RF","1","8","95.1908667365762"
"1 23","0.05","Lasso","1","3","94.898715183824"
"1 23","0.05","Relaxed Lasso","1","3","95.5415562861596"
"1 23","0.05","RF","2","7","80.9388343031713"
"1 24","0.05","Lasso","2","2","122.435684202149"
"1 24","0.05","Relaxed Lasso","1","1","122.243559023336"
"1 24","0.05","RF","1","3","106.96884775864"
"1 25","0.05","Lasso","2","6","81.9697142101112"
"1 25","0.05","Relaxed Lasso","2","7","81.7894546459832"
"1 25","0.05","RF","2","6","69.8751005128528"
"1 26","0.05","Lasso","2","12","121.652102748176"
"1 26","0.05","Relaxed Lasso","2","6","127.510700786118"
"1 26","0.05","RF","1","5","87.0468126273599"
"1 27","0.05","Lasso","1","6","116.944720417931"
"1 27","0.05","Relaxed Lasso","1","3","117.490032924106"
"1 27","0.05","RF","1","8","102.135672723547"
"1 28","0.05","Lasso","2","6","78.544618335329"
"1 28","0.05","Relaxed Lasso","2","5","82.4075982267171"
"1 28","0.05","RF","1","8","59.1588726267999"
"1 29","0.05","Lasso","3","14","94.0041697498941"
"1 29","0.05","Relaxed Lasso","3","13","92.6373749492497"
"1 29","0.05","RF","2","6","75.6223180550976"
"1 30","0.05","Lasso","2","5","144.030320969771"
"1 30","0.05","Relaxed Lasso","2","2","144.207045209902"
"1 30","0.05","RF","2","7","115.112123245215"
"1 31","0.05","Lasso","0","0","97.2701953940071"
"1 31","0.05","Relaxed Lasso","0","0","95.9232626564686"
"1 31","0.05","RF","1","3","80.5138467765286"
"1 32","0.05","Lasso","1","3","120.936710086167"
"1 32","0.05","Relaxed Lasso","1","3","120.966115576012"
"1 32","0.05","RF","0","6","102.227391046078"
"1 33","0.05","Lasso","2","5","117.958340925374"
"1 33","0.05","Relaxed Lasso","2","4","119.774339919295"
"1 33","0.05","RF","3","6","92.6874374730561"
"1 34","0.05","Lasso","0","0","121.214725073451"
"1 34","0.05","Relaxed Lasso","0","0","122.501685530075"
"1 34","0.05","RF","0","8","104.742512813543"
"1 35","0.05","Lasso","0","3","96.8457981397755"
"1 35","0.05","Relaxed Lasso","0","3","96.1004854364454"
"1 35","0.05","RF","0","2","77.5760726742381"
"1 36","0.05","Lasso","0","2","108.966459571246"
"1 36","0.05","Relaxed Lasso","0","0","110.221072844675"
"1 36","0.05","RF","1","2","103.438219613509"
"1 37","0.05","Lasso","2","18","83.5040171310262"
"1 37","0.05","Relaxed Lasso","1","4","80.5815097934091"
"1 37","0.05","RF","1","6","69.5957842075745"
"1 38","0.05","Lasso","0","0","103.967392618728"
"1 38","0.05","Relaxed Lasso","0","0","105.576202769414"
"1 38","0.05","RF","1","4","92.9795539981919"
"1 39","0.05","Lasso","0","0","117.222326866193"
"1 39","0.05","Relaxed Lasso","0","0","117.176010165155"
"1 39","0.05","RF","0","4","105.18659257061"
"1 40","0.05","Lasso","0","1","114.381746626839"
"1 40","0.05","Relaxed Lasso","0","1","114.030982124561"
"1 40","0.05","RF","1","4","77.7789617766223"
"1 41","0.05","Lasso","0","1","108.394900872364"
"1 41","0.05","Relaxed Lasso","0","0","108.948931354095"
"1 41","0.05","RF","1","3","97.4599880233469"
"1 42","0.05","Lasso","1","1","88.9317498037449"
"1 42","0.05","Relaxed Lasso","1","1","88.5685892292599"
"1 42","0.05","RF","1","7","67.2924935178299"
"1 43","0.05","Lasso","0","0","97.9614256469339"
"1 43","0.05","Relaxed Lasso","0","0","97.7199298876262"
"1 43","0.05","RF","0","5","76.8044140756796"
"1 44","0.05","Lasso","2","6","122.183244842197"
"1 44","0.05","Relaxed Lasso","0","0","122.776216142849"
"1 44","0.05","RF","3","8","99.088178185276"
"1 45","0.05","Lasso","0","2","126.30133664107"
"1 45","0.05","Relaxed Lasso","0","2","126.848648910923"
"1 45","0.05","RF","0","3","90.4195593125981"
"1 46","0.05","Lasso","1","7","110.432230131185"
"1 46","0.05","Relaxed Lasso","0","2","110.028295836417"
"1 46","0.05","RF","1","3","95.9763869104211"
"1 47","0.05","Lasso","0","0","123.706252093558"
"1 47","0.05","Relaxed Lasso","0","3","122.921820071906"
"1 47","0.05","RF","0","4","107.262901827228"
"1 48","0.05","Lasso","0","0","107.649177114307"
"1 48","0.05","Relaxed Lasso","0","0","111.104712279749"
"1 48","0.05","RF","1","4","78.3472003932959"
"1 49","0.05","Lasso","2","7","104.881298639212"
"1 49","0.05","Relaxed Lasso","0","5","104.080784031315"
"1 49","0.05","RF","1","5","91.0788921101373"
"1 50","0.05","Lasso","1","4","108.519752344041"
"1 50","0.05","Relaxed Lasso","0","2","112.878835738661"
"1 50","0.05","RF","0","3","97.9398528378917"
"1 51","0.05","Lasso","0","0","102.328110795074"
"1 51","0.05","Relaxed Lasso","0","8","103.198318979264"
"1 51","0.05","RF","0","5","88.2894352612835"
"1 52","0.05","Lasso","2","10","95.6020899265497"
"1 52","0.05","Relaxed Lasso","2","10","95.7070897380097"
"1 52","0.05","RF","1","7","76.9107256156447"
"1 53","0.05","Lasso","0","0","124.387467005445"
"1 53","0.05","Relaxed Lasso","1","9","124.727070147848"
"1 53","0.05","RF","2","6","97.2408913940218"
"1 54","0.05","Lasso","0","0","92.4111151248222"
"1 54","0.05","Relaxed Lasso","0","0","92.8418227639177"
"1 54","0.05","RF","0","5","73.5045583310684"
"1 55","0.05","Lasso","1","3","94.8655243171441"
"1 55","0.05","Relaxed Lasso","1","2","94.5885932357279"
"1 55","0.05","RF","1","5","82.9747095655934"
"1 56","0.05","Lasso","0","0","124.463482159546"
"1 56","0.05","Relaxed Lasso","0","0","124.326126847787"
"1 56","0.05","RF","3","6","113.311877542384"
"1 57","0.05","Lasso","2","11","83.1774670085362"
"1 57","0.05","Relaxed Lasso","2","15","83.6716927548862"
"1 57","0.05","RF","1","5","65.502882726518"
"1 58","0.05","Lasso","0","1","100.347231477951"
"1 58","0.05","Relaxed Lasso","0","0","100.955247926386"
"1 58","0.05","RF","1","4","84.8587462375026"
"1 59","0.05","Lasso","2","21","109.272809739949"
"1 59","0.05","Relaxed Lasso","3","36","107.934830412095"
"1 59","0.05","RF","1","5","88.7210904501436"
"1 60","0.05","Lasso","3","14","106.724938932307"
"1 60","0.05","Relaxed Lasso","3","12","106.585303976115"
"1 60","0.05","RF","0","5","82.867799953412"
"1 61","0.05","Lasso","0","0","101.17996397324"
"1 61","0.05","Relaxed Lasso","0","0","100.80687466465"
"1 61","0.05","RF","0","5","78.2591351600236"
"1 62","0.05","Lasso","1","1","94.6865565999962"
"1 62","0.05","Relaxed Lasso","1","1","94.7038394094111"
"1 62","0.05","RF","1","5","75.8888732330272"
"1 63","0.05","Lasso","2","6","122.516704401771"
"1 63","0.05","Relaxed Lasso","0","0","123.130770035271"
"1 63","0.05","RF","0","4","111.613872548942"
"1 64","0.05","Lasso","0","0","108.650294290806"
"1 64","0.05","Relaxed Lasso","0","0","107.755814514757"
"1 64","0.05","RF","1","3","100.541357377313"
"1 65","0.05","Lasso","2","15","126.001972771976"
"1 65","0.05","Relaxed Lasso","2","20","126.298127780589"
"1 65","0.05","RF","3","8","96.8658459160534"
"1 66","0.05","Lasso","1","8","113.46994822259"
"1 66","0.05","Relaxed Lasso","0","0","113.853330247101"
"1 66","0.05","RF","2","4","88.0024968438269"
"1 67","0.05","Lasso","0","0","83.1799462870595"
"1 67","0.05","Relaxed Lasso","0","0","84.585851445774"
"1 67","0.05","RF","0","0","Inf"
"1 68","0.05","Lasso","0","0","117.560207776607"
"1 68","0.05","Relaxed Lasso","3","6","117.894435289426"
"1 68","0.05","RF","1","4","94.693677038285"
"1 69","0.05","Lasso","0","0","124.097700464911"
"1 69","0.05","Relaxed Lasso","0","0","123.666271164103"
"1 69","0.05","RF","0","0","Inf"
"1 70","0.05","Lasso","0","0","109.830694094014"
"1 70","0.05","Relaxed Lasso","0","0","109.298887717433"
"1 70","0.05","RF","1","3","78.3803178300996"
"1 71","0.05","Lasso","2","5","116.439681733496"
"1 71","0.05","Relaxed Lasso","4","10","116.867814718858"
"1 71","0.05","RF","2","4","89.6045728951733"
"1 72","0.05","Lasso","0","0","93.8644827617197"
"1 72","0.05","Relaxed Lasso","0","0","93.9895967521094"
"1 72","0.05","RF","0","5","84.8540994121083"
"1 73","0.05","Lasso","2","8","139.314212483644"
"1 73","0.05","Relaxed Lasso","2","5","139.062141256667"
"1 73","0.05","RF","0","5","106.609152844946"
"1 74","0.05","Lasso","0","0","78.1554053446088"
"1 74","0.05","Relaxed Lasso","0","0","78.3015106179163"
"1 74","0.05","RF","0","4","66.1588556277484"
"1 75","0.05","Lasso","3","11","106.177696077244"
"1 75","0.05","Relaxed Lasso","0","1","106.521662232074"
"1 75","0.05","RF","2","9","86.8586053428962"
"1 76","0.05","Lasso","1","6","135.805615774714"
"1 76","0.05","Relaxed Lasso","3","12","135.94587142507"
"1 76","0.05","RF","1","4","103.005171902633"
"1 77","0.05","Lasso","2","3","103.603878542828"
"1 77","0.05","Relaxed Lasso","1","1","103.419307765947"
"1 77","0.05","RF","2","6","87.3207420282576"
"1 78","0.05","Lasso","1","3","103.822833493671"
"1 78","0.05","Relaxed Lasso","0","2","103.500731015759"
"1 78","0.05","RF","0","6","79.9084817126469"
"1 79","0.05","Lasso","1","2","117.609726935843"
"1 79","0.05","Relaxed Lasso","1","2","117.476366203014"
"1 79","0.05","RF","2","7","107.642601593124"
"1 80","0.05","Lasso","0","0","88.2715002286672"
"1 80","0.05","Relaxed Lasso","0","0","88.1958816556105"
"1 80","0.05","RF","2","6","73.6789081707373"
"1 81","0.05","Lasso","2","3","112.224441046976"
"1 81","0.05","Relaxed Lasso","0","0","113.668421231925"
"1 81","0.05","RF","1","5","100.496523476556"
"1 82","0.05","Lasso","0","0","91.095760084828"
"1 82","0.05","Relaxed Lasso","0","0","91.6272234026448"
"1 82","0.05","RF","0","5","75.2189402947827"
"1 83","0.05","Lasso","0","1","145.649396746966"
"1 83","0.05","Relaxed Lasso","0","0","146.171447618882"
"1 83","0.05","RF","0","5","125.917207872214"
"1 84","0.05","Lasso","2","2","116.035322413781"
"1 84","0.05","Relaxed Lasso","2","2","116.477996958413"
"1 84","0.05","RF","2","4","100.903198586289"
"1 85","0.05","Lasso","0","0","94.3345130865734"
"1 85","0.05","Relaxed Lasso","0","0","94.8763294942126"
"1 85","0.05","RF","0","3","83.4032916414912"
"1 86","0.05","Lasso","0","0","110.608373597049"
"1 86","0.05","Relaxed Lasso","1","4","110.611589702697"
"1 86","0.05","RF","1","7","87.4792013571868"
"1 87","0.05","Lasso","0","0","104.054298528839"
"1 87","0.05","Relaxed Lasso","0","0","103.35702218272"
"1 87","0.05","RF","0","4","87.730161528571"
"1 88","0.05","Lasso","0","0","110.021844184004"
"1 88","0.05","Relaxed Lasso","0","0","109.465545212876"
"1 88","0.05","RF","1","3","101.940439568416"
"1 89","0.05","Lasso","2","15","100.012174728132"
"1 89","0.05","Relaxed Lasso","0","0","98.7742532800073"
"1 89","0.05","RF","2","8","81.3928239888135"
"1 90","0.05","Lasso","4","15","109.00924764201"
"1 90","0.05","Relaxed Lasso","3","14","108.762940503036"
"1 90","0.05","RF","1","6","97.5071439404999"
"1 91","0.05","Lasso","0","0","140.804424655323"
"1 91","0.05","Relaxed Lasso","0","0","143.417982013681"
"1 91","0.05","RF","3","7","114.66510892812"
"1 92","0.05","Lasso","0","0","123.758093839171"
"1 92","0.05","Relaxed Lasso","1","8","123.500061539379"
"1 92","0.05","RF","1","3","96.4258066098498"
"1 93","0.05","Lasso","0","1","88.380633207643"
"1 93","0.05","Relaxed Lasso","0","1","89.0501656117531"
"1 93","0.05","RF","1","6","69.3396576277581"
"1 94","0.05","Lasso","1","17","89.2173349407666"
"1 94","0.05","Relaxed Lasso","1","13","88.1947130955483"
"1 94","0.05","RF","0","5","76.4296776236044"
"1 95","0.05","Lasso","0","0","114.659012988895"
"1 95","0.05","Relaxed Lasso","1","1","113.658198408531"
"1 95","0.05","RF","1","3","101.413589902261"
"1 96","0.05","Lasso","2","7","87.2588404558401"
"1 96","0.05","Relaxed Lasso","0","0","88.0634619738983"
"1 96","0.05","RF","0","4","65.236145138721"
"1 97","0.05","Lasso","0","0","113.690169992849"
"1 97","0.05","Relaxed Lasso","0","1","112.143467937105"
"1 97","0.05","RF","1","6","95.2674654897947"
"1 98","0.05","Lasso","0","0","105.669191028692"
"1 98","0.05","Relaxed Lasso","0","0","106.72345104362"
"1 98","0.05","RF","0","3","97.9542207746748"
"1 99","0.05","Lasso","0","0","96.1732984404288"
"1 99","0.05","Relaxed Lasso","0","0","96.4653465938433"
"1 99","0.05","RF","0","5","76.6831307749105"
"1 100","0.05","Lasso","1","1","103.005168656495"
"1 100","0.05","Relaxed Lasso","1","1","103.006808437055"
"1 100","0.05","RF","1","4","85.5656606650696"
"2 1","0.0851118720078079","Lasso","0","1","50.4403556479269"
"2 1","0.0851118720078079","Relaxed Lasso","0","0","50.4693122295909"
"2 1","0.0851118720078079","RF","0","3","45.4551287135952"
"2 2","0.0851118720078079","Lasso","1","4","65.2226852847989"
"2 2","0.0851118720078079","Relaxed Lasso","1","3","65.150507353821"
"2 2","0.0851118720078079","RF","2","4","53.6231403644434"
"2 3","0.0851118720078079","Lasso","4","8","60.885637881234"
"2 3","0.0851118720078079","Relaxed Lasso","1","2","60.9343017312016"
"2 3","0.0851118720078079","RF","2","7","50.5252146105126"
"2 4","0.0851118720078079","Lasso","0","0","67.6493740854232"
"2 4","0.0851118720078079","Relaxed Lasso","0","0","68.4858625368756"
"2 4","0.0851118720078079","RF","0","2","57.5030803258714"
"2 5","0.0851118720078079","Lasso","0","0","51.2545468656728"
"2 5","0.0851118720078079","Relaxed Lasso","0","1","50.8874370492826"
"2 5","0.0851118720078079","RF","0","6","47.6147490983551"
"2 6","0.0851118720078079","Lasso","1","1","66.7873113347002"
"2 6","0.0851118720078079","Relaxed Lasso","1","2","66.8155338480536"
"2 6","0.0851118720078079","RF","2","6","51.9523348767011"
"2 7","0.0851118720078079","Lasso","0","0","70.2475123105605"
"2 7","0.0851118720078079","Relaxed Lasso","0","0","70.4166808347535"
"2 7","0.0851118720078079","RF","0","7","58.5988642802088"
"2 8","0.0851118720078079","Lasso","0","0","63.6363797926924"
"2 8","0.0851118720078079","Relaxed Lasso","0","0","63.3414354098332"
"2 8","0.0851118720078079","RF","0","4","51.3082309279932"
"2 9","0.0851118720078079","Lasso","0","0","48.5805317699508"
"2 9","0.0851118720078079","Relaxed Lasso","0","0","48.9891168949"
"2 9","0.0851118720078079","RF","1","7","37.5227440561092"
"2 10","0.0851118720078079","Lasso","1","3","57.519756358068"
"2 10","0.0851118720078079","Relaxed Lasso","1","2","59.3841877895507"
"2 10","0.0851118720078079","RF","2","6","41.5198392586488"
"2 11","0.0851118720078079","Lasso","0","4","62.9327246857817"
"2 11","0.0851118720078079","Relaxed Lasso","0","1","63.3934039249154"
"2 11","0.0851118720078079","RF","2","9","53.8036852708313"
"2 12","0.0851118720078079","Lasso","0","0","65.8724703854995"
"2 12","0.0851118720078079","Relaxed Lasso","0","0","66.097616414466"
"2 12","0.0851118720078079","RF","0","5","53.4700401005594"
"2 13","0.0851118720078079","Lasso","0","0","62.0286589174157"
"2 13","0.0851118720078079","Relaxed Lasso","0","0","62.8327261867548"
"2 13","0.0851118720078079","RF","1","6","53.3450382971952"
"2 14","0.0851118720078079","Lasso","3","26","61.6948920477809"
"2 14","0.0851118720078079","Relaxed Lasso","3","26","56.6268659846074"
"2 14","0.0851118720078079","RF","1","6","50.912403781721"
"2 15","0.0851118720078079","Lasso","2","22","60.5620063592167"
"2 15","0.0851118720078079","Relaxed Lasso","2","21","60.4902806967355"
"2 15","0.0851118720078079","RF","0","6","53.6711532436097"
"2 16","0.0851118720078079","Lasso","0","0","64.5940331389606"
"2 16","0.0851118720078079","Relaxed Lasso","0","0","63.5887241485593"
"2 16","0.0851118720078079","RF","1","4","49.7675630926211"
"2 17","0.0851118720078079","Lasso","3","9","56.9436163335838"
"2 17","0.0851118720078079","Relaxed Lasso","3","8","58.8567782739037"
"2 17","0.0851118720078079","RF","2","7","42.7883058972797"
"2 18","0.0851118720078079","Lasso","0","0","55.4452803138353"
"2 18","0.0851118720078079","Relaxed Lasso","0","0","55.5340603090548"
"2 18","0.0851118720078079","RF","0","6","45.0751839895476"
"2 19","0.0851118720078079","Lasso","3","6","58.1430025478502"
"2 19","0.0851118720078079","Relaxed Lasso","0","0","58.4582242900411"
"2 19","0.0851118720078079","RF","3","6","49.6968961807216"
"2 20","0.0851118720078079","Lasso","0","0","75.3436595248695"
"2 20","0.0851118720078079","Relaxed Lasso","0","0","75.2190421752457"
"2 20","0.0851118720078079","RF","1","7","62.292006787838"
"2 21","0.0851118720078079","Lasso","0","0","61.157963583283"
"2 21","0.0851118720078079","Relaxed Lasso","3","10","61.4961207876013"
"2 21","0.0851118720078079","RF","3","6","49.3932731204244"
"2 22","0.0851118720078079","Lasso","2","3","66.3894562613127"
"2 22","0.0851118720078079","Relaxed Lasso","2","3","66.568884763494"
"2 22","0.0851118720078079","RF","1","5","56.5946097114449"
"2 23","0.0851118720078079","Lasso","0","0","64.7445538023591"
"2 23","0.0851118720078079","Relaxed Lasso","0","0","64.6364101202209"
"2 23","0.0851118720078079","RF","0","4","53.0229085201809"
"2 24","0.0851118720078079","Lasso","3","9","50.7915198447128"
"2 24","0.0851118720078079","Relaxed Lasso","0","0","51.1950261205167"
"2 24","0.0851118720078079","RF","0","5","41.8698955694455"
"2 25","0.0851118720078079","Lasso","3","16","44.9031462714054"
"2 25","0.0851118720078079","Relaxed Lasso","3","16","47.2529210362837"
"2 25","0.0851118720078079","RF","1","6","39.2349420384398"
"2 26","0.0851118720078079","Lasso","1","3","80.8547372452418"
"2 26","0.0851118720078079","Relaxed Lasso","1","2","81.7239964832886"
"2 26","0.0851118720078079","RF","1","3","70.399908768758"
"2 27","0.0851118720078079","Lasso","0","0","85.4512126670554"
"2 27","0.0851118720078079","Relaxed Lasso","0","0","86.2709565389413"
"2 27","0.0851118720078079","RF","1","4","78.5168908442381"
"2 28","0.0851118720078079","Lasso","0","0","71.1358984094416"
"2 28","0.0851118720078079","Relaxed Lasso","0","0","70.3831032693474"
"2 28","0.0851118720078079","RF","1","5","61.418552988254"
"2 29","0.0851118720078079","Lasso","0","0","64.8286413690509"
"2 29","0.0851118720078079","Relaxed Lasso","0","0","64.8593620628981"
"2 29","0.0851118720078079","RF","0","5","48.815634900945"
"2 30","0.0851118720078079","Lasso","0","0","60.4554525939545"
"2 30","0.0851118720078079","Relaxed Lasso","0","0","61.1476387320376"
"2 30","0.0851118720078079","RF","0","7","51.3845505721139"
"2 31","0.0851118720078079","Lasso","0","0","70.5789454225284"
"2 31","0.0851118720078079","Relaxed Lasso","1","2","68.5895432314687"
"2 31","0.0851118720078079","RF","2","6","60.3779061083462"
"2 32","0.0851118720078079","Lasso","0","0","55.5572325442012"
"2 32","0.0851118720078079","Relaxed Lasso","0","0","55.4548900021065"
"2 32","0.0851118720078079","RF","1","5","47.1160195716539"
"2 33","0.0851118720078079","Lasso","0","5","61.7948592360976"
"2 33","0.0851118720078079","Relaxed Lasso","0","1","61.6912126237382"
"2 33","0.0851118720078079","RF","0","6","48.4212690624049"
"2 34","0.0851118720078079","Lasso","3","8","57.1448017124155"
"2 34","0.0851118720078079","Relaxed Lasso","2","6","55.7371231545639"
"2 34","0.0851118720078079","RF","2","4","47.278232148414"
"2 35","0.0851118720078079","Lasso","2","18","73.8531905063737"
"2 35","0.0851118720078079","Relaxed Lasso","2","18","73.8693446028749"
"2 35","0.0851118720078079","RF","0","3","63.7873091882347"
"2 36","0.0851118720078079","Lasso","3","12","81.9897877839103"
"2 36","0.0851118720078079","Relaxed Lasso","0","0","82.4488639537331"
"2 36","0.0851118720078079","RF","1","3","73.2923553420137"
"2 37","0.0851118720078079","Lasso","0","1","48.0407221232601"
"2 37","0.0851118720078079","Relaxed Lasso","0","1","47.9357984924224"
"2 37","0.0851118720078079","RF","0","5","38.6822327930125"
"2 38","0.0851118720078079","Lasso","4","8","62.2001318329841"
"2 38","0.0851118720078079","Relaxed Lasso","3","7","59.9823661117056"
"2 38","0.0851118720078079","RF","1","4","54.7360761948273"
"2 39","0.0851118720078079","Lasso","1","1","61.2321320823941"
"2 39","0.0851118720078079","Relaxed Lasso","1","1","61.3768751592499"
"2 39","0.0851118720078079","RF","1","4","46.0315560274289"
"2 40","0.0851118720078079","Lasso","5","15","59.4934786154009"
"2 40","0.0851118720078079","Relaxed Lasso","5","12","60.3685339152479"
"2 40","0.0851118720078079","RF","2","5","47.4349867089261"
"2 41","0.0851118720078079","Lasso","3","6","67.0402677103212"
"2 41","0.0851118720078079","Relaxed Lasso","2","4","66.7504071490898"
"2 41","0.0851118720078079","RF","2","5","52.7815584755064"
"2 42","0.0851118720078079","Lasso","3","10","58.2776206609946"
"2 42","0.0851118720078079","Relaxed Lasso","3","9","59.2389436746171"
"2 42","0.0851118720078079","RF","2","6","49.6144291472011"
"2 43","0.0851118720078079","Lasso","0","0","60.1678065494397"
"2 43","0.0851118720078079","Relaxed Lasso","0","0","60.0815025050951"
"2 43","0.0851118720078079","RF","1","8","50.8214607521233"
"2 44","0.0851118720078079","Lasso","1","8","60.9816147050037"
"2 44","0.0851118720078079","Relaxed Lasso","1","7","61.1920746278481"
"2 44","0.0851118720078079","RF","2","6","48.4408658403012"
"2 45","0.0851118720078079","Lasso","0","0","66.1587894630195"
"2 45","0.0851118720078079","Relaxed Lasso","0","0","66.1004409017045"
"2 45","0.0851118720078079","RF","0","0","Inf"
"2 46","0.0851118720078079","Lasso","0","0","62.8379742220249"
"2 46","0.0851118720078079","Relaxed Lasso","0","0","62.8287039483866"
"2 46","0.0851118720078079","RF","0","6","54.6332308650277"
"2 47","0.0851118720078079","Lasso","3","8","73.8071002478042"
"2 47","0.0851118720078079","Relaxed Lasso","3","21","74.3660435326578"
"2 47","0.0851118720078079","RF","3","7","60.5858099093136"
"2 48","0.0851118720078079","Lasso","1","3","60.2917969390248"
"2 48","0.0851118720078079","Relaxed Lasso","1","10","60.0438103506872"
"2 48","0.0851118720078079","RF","1","6","51.7335404668701"
"2 49","0.0851118720078079","Lasso","0","0","54.8118478072781"
"2 49","0.0851118720078079","Relaxed Lasso","2","5","55.131203074127"
"2 49","0.0851118720078079","RF","1","5","50.2490373152791"
"2 50","0.0851118720078079","Lasso","0","5","78.8926290527779"
"2 50","0.0851118720078079","Relaxed Lasso","0","5","79.219918201278"
"2 50","0.0851118720078079","RF","0","5","66.8816558753315"
"2 51","0.0851118720078079","Lasso","1","10","58.7186281833584"
"2 51","0.0851118720078079","Relaxed Lasso","1","9","58.7797445247259"
"2 51","0.0851118720078079","RF","1","8","50.8042721929492"
"2 52","0.0851118720078079","Lasso","2","8","69.010685205561"
"2 52","0.0851118720078079","Relaxed Lasso","2","7","68.6591022656983"
"2 52","0.0851118720078079","RF","1","6","55.3255637964245"
"2 53","0.0851118720078079","Lasso","0","0","60.3328811982648"
"2 53","0.0851118720078079","Relaxed Lasso","0","0","61.2054984278176"
"2 53","0.0851118720078079","RF","1","7","52.8371983469142"
"2 54","0.0851118720078079","Lasso","0","0","57.4810254533784"
"2 54","0.0851118720078079","Relaxed Lasso","0","0","57.0727129395193"
"2 54","0.0851118720078079","RF","1","6","50.9432630488172"
"2 55","0.0851118720078079","Lasso","0","0","56.4074556815799"
"2 55","0.0851118720078079","Relaxed Lasso","0","1","56.2910086042799"
"2 55","0.0851118720078079","RF","0","2","54.1000683016369"
"2 56","0.0851118720078079","Lasso","1","1","47.2344663988075"
"2 56","0.0851118720078079","Relaxed Lasso","1","1","47.1993278214648"
"2 56","0.0851118720078079","RF","1","7","35.3196319249878"
"2 57","0.0851118720078079","Lasso","3","9","53.1283802527645"
"2 57","0.0851118720078079","Relaxed Lasso","1","2","53.0827350543139"
"2 57","0.0851118720078079","RF","2","5","38.0671965177677"
"2 58","0.0851118720078079","Lasso","0","0","70.2496500017577"
"2 58","0.0851118720078079","Relaxed Lasso","0","0","69.7715193631146"
"2 58","0.0851118720078079","RF","2","2","60.8566866207425"
