y,GDPsh560,Confuncious,"Life Exp","Equip Inv",SubSahara,Muslim,"Rule of Law","Yrs Open","Eco Org",Protestants,"NEquip Inv",Mining,LatAmerica,"PrSc Enroll",Buddha,"Bl Mkt Pm",Catholic,"Civl Lib",Hindu,"Pr Exports","Pol Rights","R FEX Dist",Age,"War Dummy","English %","Foreign %","Lab Force","Spanish Col","EthnoL Frac",std(BMP),"French Col","Abs Lat",Work/Pop,"High Enroll","Pop g","Brit Col","Outwar Or",Jewish,"Rev & Coup","%Publ Edu",Area
-1.2079,6.856462,0,41.8,0.0372,1,0.19,0.5,0.044,1,0.31,0.2803,0.204,0,0.42,0,0.086,0.31,5.1111,0.18,0.998,5.1111,206,76,0,0,0,1.137984,0,0.82,6.197646,0,1.2942,-1.015283,0,0.033396,1,1,0,0.05,0.0159,0.753
0.4561,6.917706,0,45.5,0.0086,1,0.01,0.1667,0,3,0.25,0.2026,0.06,0,0.96,0,0.086,0.25,5.0556,0,0.656,4.8333,164,0,1,0.074,0,1.683379,0,0.54,10.13385,0,1.7876,-0.817351,0,0.030956,1,1,0,0.3,0.0163,0.391
2.586,8.893985,0,71.1,0.08605,0,0,1,0.956,5,0.26,0.14745,0.034,0,1,0,0,0.46,1,0,0.488,1,83,0,0,0.614,0.243,6.674685,0,0.75,0.0001,0,4.3727,-0.986981,0.16,0.013423,1,1,0,0,0.0365,9.976
1.9617,7.607381,0,61.9,0.031,0,0,0.6667,0.422,3,0,0.1161,0.035,1,0.96,0,0.221,0.95,1,0,0.803,1,91,76,0,0.016,0.891,0.373519,1,0.07,1.595279,0,0.9941,-1.196666,0.049,0.030175,0,0,0,0,0.035,0.051
1.8829,7.04316,0,52.2,0.021,0,0,0.5,0,3,0,0.1508,0.024,1,0.98,0,0.369,0.95,2.5556,0,0.804,2.1667,129,0,1,0.001,0.87,0.906619,0,0.04,3.840143,1,1.8561,-1.270825,0.013,0.026829,0,0,0,0.36,0.0187,0.049
0.8475,7.229114,0,50.8,0.013,0,0,0.1667,0.4,3,0.2,0.0674,0.002,1,0.8,0,0.19,0.75,3.7778,0,0.713,3.2778,132,0,1,0,0.923,0.838334,1,0.17,3.355507,0,1.3775,-1.120245,0.011,0.022344,0,0,0,0.56,0.0224,0.021
0.8223,7.401231,0,45.9,0.02,0,0,0.1667,0.422,3,0.03,0.0681,0.003,1,0.45,0,0,0.95,4.1111,0,0.72,4,109,90,1,0,0.588,1.267687,1,0.64,4.152047,0,1.4622,-1.140059,0.016,0.027946,0,0,0,0.507,0.0156,0.109
-0.8706,6.769642,0,42.4,0.0027,0,0,0,0,3,0.16,0.0683,0.002,1,0.46,0,0,0.8,5.6667,0,0.744,6.5,114,0,1,0,0.075,2.029131,0,0.01,0.0001,1,1.8932,-0.629234,0.004,0.017617,0,0,0,0.16,0.0153,0.028
0.8658,6.906755,0,46.8,0.0446,0,0,0.1667,0.356,3,0.02,0.0939,0.014,1,0.67,0,0,0.97,3,0,0.919,4.0556,156,80,1,0.003,0.843,0.618233,1,0.16,1.096958,0,1.4194,-1.140998,0.011,0.033245,0,1,0,0.32,0.0211,0.112
1.0634,7.492203,0,63,0.046,0,0,0.1667,0.422,5,0.56,0.1604,0.089,1,0.92,0,0.02,0.05,2.6111,0,0.471,1.7222,139,0,1,0.94,0,0.66789,0,0.05,2.904762,0,1.8055,-0.891598,0.017,0.014329,1,0,0,0,0.0201,0.011
2.1101,7.93666,0,57.3,0.022,0,0,0.6667,0.2,3,0.06,0.1739,0.032,1,0.8,0,0,0.89,3.6667,0,0.675,3.6667,71,0,0,0,0.88,10.99538,1,0.3,1.451461,0,1.6759,-1.240637,0.026,0.028529,0,0,0,0,0.0134,1.958
-0.7729,7.301148,0,47.3,0.0139,0,0,0.1667,0.333,3,0.05,0.1262,0.039,1,0.66,0,0.32,0.95,4.7222,0,0.839,5.1111,103,81,1,0.009,0.646,0.442824,1,0.1,14.22124,0,1.2211,-1.215371,0.012,0.031694,0,0,0,0.2,0.0165,0.13
2.5958,7.315884,0,60.9,0.0388,0,0,0.1667,0.276,3,0.06,0.2231,0.001,1,0.96,0,0,0.93,4.8333,0,0.964,5.7222,129,0,0,0.14,0.695,0.382973,1,0.28,0.0001,0,0.9206,-1.097813,0.046,0.024991,0,0,0,0.16,0.0365,0.077
1.958,9.187481,0,69.8,0.0667,0,0,1,1,5,0.56,0.1451,0.018,0,1,0,0,0.28,1,0,0.298,1,90,0,1,0.886,0.089,73.17176,0,0.5,0.0001,0,3.436,-0.903868,0.321,0.011011,1,0,0.02,0,0.0383,9.373
0.6421,8.099858,0,65.2,0.016,0,0,0.3333,0.089,5,0.02,0.12,0.023,1,0.98,0,0.16,0.9,3.5556,0,0.861,3.9444,113,0,1,0,0.836,8.110334,1,0.31,6.684972,0,3.6676,-0.932928,0.109,0.015255,0,0,0.02,0.96,0.0223,2.767
1.2652,7.005789,0,42.8,0.014,0,0,0.1667,0.733,3,0.03,0.1195,0.075,1,0.64,0,0.03,0.95,3.6667,0,0.969,4.1111,181,0,0,0,0.372,1.184031,1,0.68,23.60656,0,1.519,-1.063052,0.036,0.025138,0,0,0,1.19,0.0158,1.099
2.4047,7.46451,0,54.9,0.0646,0,0,0.6667,0.089,3,0,0.1644,0.017,1,0.95,0,0.24,0.9,3.3889,0,0.858,3.3889,97,0,0,0,0.998,23.33897,0,0.07,1.557664,0,1.9557,-1.134758,0.016,0.024529,0,0,0,0.12,0.0041,8.512
1.3871,7.971776,0,57.3,0.0152,0,0,0.8333,0.422,5,0.11,0.13,0.155,1,1,0,0.54,0.89,4.6667,0,0.956,5.7778,100,0,1,0,0.931,2.480641,1,0.14,33.13571,0,3.3554,-1.121472,0.042,0.018302,0,0,0,0.2,0.0262,0.757
2.1168,7.412764,0,53.2,0.016,0,0,0.3333,0.089,3,0,0.1644,0.062,1,0.77,0,0.184,0.95,2.8889,0,0.919,2.1111,81,0,1,0,0.98,4.823141,1,0.06,1.466288,0,0.4788,-1.195343,0.017,0.02444,0,0,0,0,0.023,1.139
2.2043,7.266129,0,53.4,0.027,0,0,0.6667,0.844,3,0,0.2172,0.098,1,0.83,0,0.201,0.95,3.1111,0,0.983,3.7222,113,0,0,0,0.714,1.397156,1,0.53,2.40514,0,0.2062,-1.150116,0.026,0.029481,0,1,0,0.56,0.0155,0.284
1.9138,7.096721,0,63.9,0.01,0,0,0.1667,0.133,3,0.05,0.107,0.005,1,0.98,0,0.101,0.9,5.2222,0,0.911,4.9444,141,0,0,0,0.036,0.568567,1,0.14,4.591856,0,2.5583,-1.137873,0.024,0.029773,0,0,0,0.08,0.0138,0.407
0.0369,7.568379,0,48,0.02,0,0,0.3333,0.489,3,0,0.1006,0.022,1,0.83,0,0.023,0.95,3.7778,0,0.985,3.7778,83,0,1,0,0.564,3.176927,1,0.59,3.322654,0,1.1794,-1.139747,0.041,0.026207,0,0,0,0.28,0.0245,1.285
0.5947,8.255049,0,67.3,0.015,0,0,0.5,0.111,3,0.02,0.1035,0.001,1,1,0,0.021,0.66,4.1667,0,0.796,4.2222,92,77,0,0,1,1.028905,1,0.2,2.793939,0,3.4822,-0.902881,0.079,0.006722,0,0,0.02,0,0.0241,0.177
0.1719,8.726968,0,59.8,0.035,0,0,0.5,0.311,3,0.02,0.0795,0.11,1,1,0,0.304,0.96,2.0556,0,0.985,1.2222,109,87,0,0,0.969,2.387136,1,0.11,4.89034,0,0.9843,-1.145075,0.043,0.032619,0,1,0,0.32,0.018,0.912
6.0658,7.706163,0.3,66,0.0684,0,0,1,1,5,0.05,0.1307,0.001,0,0.87,0.3,0.002,0.05,2.11,0,0.041,3.61,116,0,0,0.004,0.98,1.197405,0,0.02,0.051302,0,2.2704,-0.943148,0.044,0.021764,1,1,0,0,0.0168,0.001
1.5311,6.499787,0,42.5,0.0137,0,0.11,0.5,0.022,3,0.01,0.1545,0.017,0,0.61,0.01,0.523,0.01,3.0556,0.83,0.48,2,94,0,1,0,0,195.7815,0,0.89,2.164231,0,2.5274,-0.815089,0.025,0.022118,1,0,0,0.12,0.021,3.288
3.1091,8.116118,0,71.7,0.1112,0,0.14,0.1667,0.222,4,0.01,0.1747,0.006,0,0.98,0,0.21,0.01,2.3333,0,0.295,2,110,79,1,0,0.338,0.758926,0,0.2,1.385087,0,3.2084,-1.024433,0.102,0.026064,1,0,0.82,0,0.0368,0.021
5.1833,7.998335,0,67.7,0.1223,0,0,1,0.733,5,0.01,0.2377,0.003,0,1,0.87,0,0,1,0,0.067,1.4444,118,0,0,0,0,44.714421,0,0.01,0.0001,0,3.5712,-0.744019,0.095,0.009468,0,1,0,0,0.0317,0.378
1.9935,7.03966,0,47.2,0.0346,0,0.92,0.1667,0.667,5,0.04,0.142,0.037,0,0.77,0,0.021,0.04,5.6667,0,0.838,5.7222,116,0,1,0,1,0.439005,0,0.05,0.359061,0,3.1602,-1.350927,0.006,0.028379,1,0,0,0.2,0.0329,0.089
6.6179,6.783325,0.6,54.2,0.062,0,0,0.5,0.6,3,0.12,0.1617,0.007,0,0.94,0.16,0.602,0.12,5.1667,0,0.234,4.4444,110,0,0,0,0,8.453514,0,0,2.819555,0,3.7553,-1.084414,0.047,0.018594,0,1,0,0.4,0.0352,0.099
4.3088,7.230563,0.01,54.3,0.04,0,0.54,0.6667,1,5,0.02,0.1924,0.103,0,0.96,0.27,0.018,0.01,4.0556,0.07,0.926,3.1111,88,0,0,0,0.309,2.817254,0,0.72,0.215245,0,0.3269,-1.061028,0.012,0.026187,1,1,0,0.04,0.0281,0.33
2.6603,6.43294,0,43.3,0.015,0,0.97,0.1667,0,3,0.01,0.1073,0.006,0,0.3,0,0.61,0.01,4.7778,0.01,0.428,4.9444,77,0,1,0,0,17.14456,0,0.64,3.522031,0,3.1173,-1.069442,0.01,0.030556,1,0,0,0.32,0.0154,0.796
1.2533,7.013916,0,53.1,0.03,0,0.05,0.1667,0.156,3,0.09,0.1193,0.019,0,0.95,0.02,0.34,0.83,4.2778,0,0.924,4.2778,92,0,1,0,0.012,10.51728,0,0.74,2.098332,0,1.3922,-0.963382,0.127,0.027496,0,0,0,0.44,0.0233,0.3
6.1622,7.410347,0.15,63.7,0.1482,0,0.15,1,1,4,0,0.1742,0.001,0,1,0.46,0.018,0,4.9444,0.06,0.695,4.5,87,0,0,0.089,0.713,0.536769,0,0.42,0.179217,0,0.1355,-1.113218,0.064,0.016857,1,1,0,0,0.0334,0.001
2.1205,7.144407,0,62.3,0.011,0,0.08,0.3333,0.4,2,0.04,0.1372,0.014,0,0.95,0.69,0.871,0.04,3.4444,0.15,0.986,2.4444,51,0,1,0.009,0,3.550151,0,0.47,26.84733,0,0.6868,-1.024433,0.006,0.019052,1,1,0,0.08,0.0382,0.066
6.0895,7.214504,0.31,65.4,0.0519,0,0,1,0.711,3,0.02,0.1554,0.022,0,0.96,0.31,0.154,0.02,4.6667,0,0.163,5.1667,116,0,0,0,0.99,3.617479,0,0.42,0.0001,0,2.5259,-1.093028,0.046,0.021919,0,1,0,0.05,0.0142,0.036
4.5715,6.827629,0,52.7,0.023,0,0.04,0.5,1,3,0.01,0.1578,0.017,0,0.83,0.95,0.027,0,3.7778,0,0.92,3.9444,75,0,1,0,0.023,13.44145,0,0.66,0.456323,0,1.377,-0.674718,0.019,0.025667,0,0,0,0.44,0.0181,0.513
2.9221,8.54714,0,68.8,0.10059,0,0,1,0.778,4,0.06,0.13391,0.004,0,1,0,0,0.85,1,0,0.198,1,100,0,0,0,0.98,3.384449,0,0.13,0.0001,0,4.8231,-0.733553,0.08,0.002369,0,0,0,0,0.0248,0.084
2.8571,8.622273,0,69.7,0.06348,0,0,1,0.778,5,0.13,0.17082,0,0,1,0,0,0.75,1,0,0.238,1,100,88,0,0,0.345,3.525736,0,0.55,0.0001,0,5.0837,-0.953993,0.09,0.002494,0,1,0,0,0.0463,0.031
4.5286,7.620215,0,68.8,0.0551,0,0.18,0.3333,1,5,0,0.2578,0.004,0,1,0,0.03,0,2.8333,0,0.843,2.1111,92,0,1,0,0.003,0.234987,0,0.35,0.302042,0,3.5081,-0.891354,0.009,0.006819,1,0,0,0.12,0.0118,0.009
2.2955,8.817001,0,72.2,0.0735,0,0,1,0.778,4,0.92,0.1926,0.006,0,1,0,0,0.01,1,0,0.46,1,112,0,0,0,0.005,2.092143,0,0.05,0.0001,0,5.5718,-0.783729,0.104,0.003714,0,0,0,0,0.0339,0.043
2.6392,8.591187,0,68.5,0.11696,0,0,1,0.778,4,0.89,0.25214,0.004,0,0.97,0,0,0,1.9444,0,0.333,1.8333,126,76,0,0,0,2.024067,0,0.16,0.0001,0,6.0212,-0.783291,0.074,0.004215,0,0,0,0,0.0446,0.338
2.6735,8.696343,0,70.4,0.08126,0,0.01,1,0.8,4,0.02,0.18114,0.005,0,1,0,0,0.9,1.8611,0,0.253,1,98,90,0,0,1.004,19.74006,0,0.26,0.0001,0,4.8857,-0.839098,0.075,0.007078,0,0,0.01,0,0.0231,0.552
2.5723,8.803875,0,69.4,0.07787,0,0,1,0.8,5,0.45,0.20793,0.005,0,1,0,0,0.37,1.6389,0,0.109,1,109,76,0,0,0.949,26.17546,0,0.03,0.0001,0,4.8161,-0.750353,0.061,0.002908,0,1,0,0.08,0.0211,0.249
3.7119,7.633369,0,68.8,0.06836,0,0.01,0.5,0.8,4,0,0.22514,0.017,0,1,0,0.007,0,2.2222,0,0.654,1.9444,116,86,1,0,0,3.384926,0,0.1,0.358652,0,3.8058,-0.900171,0.039,0.006873,0,0,0,0.2,0.0137,0.132
3.4968,8.054205,0,69.7,0.07283,0,0,0.8333,0.644,5,0.03,0.18697,0.009,0,1,0,0,0.93,1.2222,0,0.593,1,119,78,0,0.742,0,1.118863,0,0.04,0.0001,0,5.4611,-0.929376,0.081,0.008975,1,1,0,0,0.0286,0.07
3.1578,8.446771,0,69.4,0.06034,0,0,0.8333,0.8,3,0,0.18906,0.002,0,1,0,0,1,1.5556,0,0.168,1.2222,92,81,0,0,0.006,20.72256,0,0.04,0.0001,0,4.5415,-0.884792,0.066,0.004732,0,1,0,0.04,0.0303,0.301
2.3901,8.7167,0,73.3,0.08081,0,0,1,0.8,4,0.27,0.17779,0.027,0,1,0,0,0.36,1,0,0.433,1,105,76,0,0,0,4.073104,0,0.1,0.0001,0,5.1874,-1.036201,0.132,0.00854,0,1,0,0,0.0412,0.037
3.122,8.640472,0,73.4,0.10136,0,0,1,0.778,4,0.9,0.19054,0.079,0,1,0,0,0.02,1,0,0.446,1,107,80,0,0,0,1.405901,0,0.04,0.0001,0,5.9977,-0.934964,0.069,0.005482,0,0,0,0,0.0349,0.324
4.0205,7.53048,0,63.7,0.05694,0,0,1,0.778,4,0.01,0.16866,0.027,0,1,0,0.002,0.97,2.3889,0,0.361,2.2222,92,0,0,0,1,3.354763,0,0.01,0.678256,0,3.8816,-0.967321,0.035,0.005991,0,0,0,0.28,0.0138,0.092
3.5708,8.059908,0,68.9,0.04708,0,0,0.8333,0.778,5,0,0.13032,0.006,0,1,0,0,0.99,2.8889,0,0.465,2.3889,89,77,0,0,0.728,11.56376,0,0.44,0.0001,0,3.7398,-0.968374,0.04,0.00883,0,0,0,0.08,0.0097,0.505
1.9165,8.923325,0,73.2,0.051,0,0,1,0.778,4,0.95,0.1943,0.003,0,0.96,0,0,0.02,1,0,0.251,1.0556,142,90,0,0,0,3.271752,0,0.08,0.0001,0,5.9278,-0.826907,0.091,0.003828,0,0,0,0,0.0412,0.45
1.6838,9.173366,0,71.3,0.053,0,0,1,1,5,0.44,0.2449,0.033,0,1,0,0,0.48,1,0,0.104,1,127,0,0,0,0.84,2.505126,0,0.5,0.0001,0,4.7408,-0.760998,0.067,0.007048,0,1,0,0,0.0297,0.041
2.7146,7.374002,0,50.5,0.039,0,1,0.5,0.133,3,0,0.1631,0.02,0,0.75,0,0.749,0,3.8889,0,0.911,3.3333,99,0,1,0,0.014,13.96357,0,0.25,2.027422,0,4.1202,-0.678062,0.029,0.024306,0,0,0,0.307,0.0268,0.779
2.0676,8.780941,0,70.8,0.0686,0,0,1,0.778,4,0.84,0.1158,0.022,0,0.92,0,0,0.15,1,0,0.167,1,99,0,0,0.974,0,24.23253,0,0.32,0.0001,0,5.151,-0.770676,0.09,0.002768,0,1,0.01,0.24,0.0345,0.245
1.8897,8.972083,0,70.7,0.095,0,0,1,0.689,5,0.5,0.221,0.038,0,1,0,0,0.26,1,0,0.811,1,129,0,0,0.95,0,4.185827,0,0.32,0.0001,0,3.2219,-0.901895,0.131,0.016453,1,0,0,0,0.0217,7.687
